,price,ilan_no,ilan_tarih,marka,seri,model,yıl,km,vites_tipi,yakıt_tipi,kasa_tipi,motor_hacmi,motor_gucu,cekis,boya_degisen,arac_turu,garanti,plaka_uyruk,renk,Araç ilk sahibindenmi,Yıllık mtv tutarı,Takasa uygunmu,tramer,sag_arka_camurluk,arka_kaput,sol_arka_camurluk,tavan,sol_arka_kapi,sol_on_kapi,sag_on_camurluk,motor_kaputu,sol_on_camurluk,on_tampon,arka_tampon,sag_arka_kapi,sag_on_kapi
627,2.850.000,22230077,23 Mart 2023,BMW,5 Serisi,520i M Sport,2022,22.000 km,Otomatik,Benzin,Sedan,1597 cc,170 hp,Arkadan İtiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,4.434 TL,Takasa Uygun Değil,,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
628,145.000,22226909,23 Mart 2023,BMW,3 Serisi,316i Standart,1993,331.000 km,Düz,LPG & Benzin,Sedan,1596 cc,102 hp,Arkadan İtiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,436 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
629,315.000,22230028,23 Mart 2023,BMW,3 Serisi,320d Standart,1998,211.500 km,Düz,Dizel,Sedan,1951 cc,136 hp,Arkadan İtiş,Belirtilmemiş,,,,,,,,Tramer tutarı yok,,,,,Lokal Boyanmış,,,,,,,Lokal Boyanmış,
630,955.900,21024400,23 Mart 2023,BMW,3 Serisi,320d Luxury,2012,213.316 km,Otomatik,Dizel,Sedan,1995 cc,184 hp,Arkadan İtiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Beyaz,İlk Sahibi Değilim,5.119 TL,Takasa Uygun Değil,,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,,,Orijinal,Orijinal
631,495.000,22231310,23 Mart 2023,BMW,3 Serisi,316,1986,107.000 km,Düz,Benzin,Coupe,1596 cc,80 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Var,(TR) Türkiye,Mavi,İlk Sahibi Değilim,,Takasa Uygun Değil,,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,,,Boyanmış,Boyanmış
632,2.550.000,22231305,23 Mart 2023,BMW,5 Serisi,520i Special Edition M Sport,2021,27.802 km,Otomatik,Benzin,Sedan,1597 cc,170 hp,Arkadan İtiş,Belirtilmemiş,Bireysel,Garantisi Var,(TR) Türkiye,Gri,İlk Sahibi Değilim,4.434 TL,Takasa Uygun Değil,,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,,,Orijinal,Orijinal
633,670.000,22231284,23 Mart 2023,BMW,3 Serisi,320d M Sport,2010,291.000 km,Otomatik,Dizel,Sedan,1995 cc,177 hp,Arkadan İtiş,Takasa Uygun:,,,,,,,,Tramer tutarı yok,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Boyanmış,Orijinal,Boyanmış,Orijinal,Orijinal,Boyanmış,Boyanmış
634,970.000,22227891,23 Mart 2023,BMW,3 Serisi,320i ED Sport Line,2016,190.000 km,Otomatik,Benzin,Sedan,1598 cc,170 hp,Arkadan İtiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,1.606 TL,Takasa Uygun Değil,Toplam Tramer Tutarı: 10.000 TL,,,,,Lokal Boyanmış,Lokal Boyanmış,,Değişmiş,Değişmiş,,,,
635,349.000,22228510,23 Mart 2023,BMW,1 Serisi,116i Standart,2005,265.000 km,Düz,LPG & Benzin,Hatchback/5,1596 cc,115 hp,Arkadan İtiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,436 TL,Takasa Uygun Değil,,,,Boyanmış,,Boyanmış,,Boyanmış,Boyanmış,Lokal Boyanmış,,,,Lokal Boyanmış
636,550.000,22228792,23 Mart 2023,BMW,5 Serisi,520i Standart,2004,216.000 km,Otomatik,Benzin,Sedan,2171 cc,170 hp,Arkadan İtiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,-,İlk Sahibi Değilim,1.818 TL,Takasa Uygun Değil,Toplam Tramer Tutarı: 3.500 TL,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Değişmiş,Boyanmış,Değişmiş,Boyanmış,Boyanmış,Boyanmış,Boyanmış
637,1.647.000,21687246,23 Mart 2023,BMW,5 Serisi,520i Luxury Line,2017,160.000 km,Otomatik,Benzin,Sedan,1597 cc,170 hp,Arkadan İtiş,Takasa Uygun:,,,,,,,,Toplam Tramer Tutarı: 14.000 TL,Boyanmış,Orijinal,Boyanmış,Orijinal,Boyanmış,Boyanmış,Orijinal,Orijinal,Boyanmış,Orijinal,Orijinal,Orijinal,Orijinal
638,850.000,22229795,23 Mart 2023,BMW,3 Serisi,320i ED Modern Line,2014,276.000 km,Otomatik,Benzin,Sedan,1598 cc,170 hp,Arkadan İtiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,1.606 TL,Takasa Uygun Değil,,,,,,Boyanmış,,Boyanmış,Değişmiş,,,,,
639,2.517.950,22231020,23 Mart 2023,BMW,3 Serisi,320i M Sport,2023,6.750 km,Otomatik,Benzin,Sedan,1597 cc,170 hp,Arkadan İtiş,Takasa Uygun:,Bireysel,Garantisi Var,(TR) Türkiye,Gri,İlk Sahibi Değilim,4.434 TL,Takasa Uygun,Tramer tutarı yok,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
640,605.000,22230071,23 Mart 2023,BMW,1 Serisi,116i Standart,2012,182.000 km,Otomatik,Benzin,Hatchback/5,1598 cc,136 hp,Arkadan İtiş,Takasa Uygun:,Bireysel,Garantisi Yok,(TR) Türkiye,Siyah,İlk Sahibi Değilim,1.606 TL,Takasa Uygun Değil,,,,,,,,,,Boyanmış,,,,
