,price,ilan_no,ilan_tarih,marka,seri,model,yıl,km,vites_tipi,yakıt_tipi,kasa_tipi,motor_hacmi,motor_gucu,cekis,boya_degisen,arac_turu,garanti,plaka_uyruk,renk,Araç ilk sahibindenmi,Yıllık mtv tutarı,Takasa uygunmu,tramer,sag_arka_camurluk,arka_kaput,sol_arka_camurluk,tavan,sol_arka_kapi,sol_on_kapi,sag_on_camurluk,motor_kaputu,sol_on_camurluk,on_tampon,arka_tampon,sag_arka_kapi,sag_on_kapi
24,425.000,22081447,03 Mart 2023,Ford,B-Max,1.6 TDCi Titanium,2014,185.000 km,Düz,Dizel,MPV,1560 cc,95 hp,Önden Çekiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,1.606 TL,Takasa Uygun Değil,,Orijinal,Orijinal,Boyanmış,Orijinal,Boyanmış,Orijinal,Orijinal,Değişmiş,Değişmiş,Orijinal,Orijinal,Orijinal,Orijinal
25,417.000,22056869,28 Şubat 2023,Ford,B-Max,1.6 Titanium,2016,169.000 km,Düz,Benzin,MPV,,,Önden Çekiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,Beyaz,İlk Sahibi Değilim,,Takasa Uygun,,,,,,,,,Değişmiş,Değişmiş,,,,
26,559.750,22035446,24 Şubat 2023,Ford,B-Max,1.6 Trend,2014,87.000 km,Otomatik,Benzin,MPV,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Yok,(TR) Türkiye,Gri,İlk Sahibi Değilim,,Takasa Uygun,Tramer tutarı yok,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
27,485.000,22025485,23 Şubat 2023,Ford,B-Max,1.6 Trend,2012,65.000 km,Yarı Otomatik,LPG & Benzin,MPV,1596 cc,105 hp,Önden Çekiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,1.606 TL,Takasa Uygun,,,,,,,,,,,,,,
28,474.000,21305439,20 Şubat 2023,Ford,B-Max,1.6 Titanium,2012,79.500 km,Yarı Otomatik,LPG & Benzin,MPV,1596 cc,105 hp,Önden Çekiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Siyah,İlk Sahibiyim,1.606 TL,Takasa Uygun,,,,,,,,,,,,,,
29,410.000,21988593,16 Şubat 2023,Ford,B-Max,1.5 TDCi Titanium,2012,213.450 km,Düz,Dizel,MPV,1498 cc,75 hp,Önden Çekiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,Beyaz,İlk Sahibiyim,1.606 TL,-,Toplam Tramer Tutarı: 1.313 TL,,,,,Lokal Boyanmış,Lokal Boyanmış,,,Boyanmış,,,,
30,410.000,21875067,06 Nisan 2023,Ford,C-Max,1.6 TDCi Titanium X,2011,149.000 km,Düz,Dizel,MPV,1560 cc,115 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Yok,(TR) Türkiye,Füme,İlk Sahibiyim,1.135 TL,Takasa Uygun,Toplam Tramer Tutarı: 98.000 TL,Lokal Boyanmış,Orijinal,Lokal Boyanmış,Orijinal,Boyanmış,Orijinal,Boyanmış,Orijinal,Boyanmış,Orijinal,Orijinal,Değişmiş,Boyanmış
31,485.000,22347797,06 Nisan 2023,Ford,C-Max,1.6 Trend,2013,147.000 km,Düz,LPG & Benzin,Sedan,1596 cc,125 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Yok,(TR) Türkiye,Beyaz,İlk Sahibi Değilim,1.606 TL,Takasa Uygun,Tramer tutarı belirtilmemiş,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
32,380.000,22297274,06 Nisan 2023,Ford,C-Max,1.6 TDCi Ghia,2006,208.000 km,Otomatik,Dizel,MPV,1560 cc,110 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Yok,(TR) Türkiye,Gri (Gümüş),İlk Sahibi Değilim,436 TL,Takasa Uygun,Tramer tutarı yok,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
33,465.000,22345852,06 Nisan 2023,Ford,C-Max,1.6 TDCi Titanium X,2009,211.000 km,Düz,Dizel,MPV,1560 cc,110 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Yok,(TR) Türkiye,Gri (Gümüş),İlk Sahibi Değilim,1.135 TL,Takasa Uygun,Toplam Tramer Tutarı: 1.330 TL,,,,,,,Boyanmış,,,,,,
