,price,ilan_no,ilan_tarih,marka,seri,model,yıl,km,vites_tipi,yakıt_tipi,kasa_tipi,motor_hacmi,motor_gucu,cekis,boya_degisen,arac_turu,garanti,plaka_uyruk,renk,Araç ilk sahibindenmi,Yıllık mtv tutarı,Takasa uygunmu,tramer,sag_arka_camurluk,arka_kaput,sol_arka_camurluk,tavan,sol_arka_kapi,sol_on_kapi,sag_on_camurluk,motor_kaputu,sol_on_camurluk,on_tampon,arka_tampon,sag_arka_kapi,sag_on_kapi
775,415.000,22195788,18 Mart 2023,Citroen,C3,1.4 HDi Attraction,2013,172.000 km,Düz,Dizel,Hatchback/5,1398 cc,71 hp,Önden Çekiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,1.606 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
776,305.500,22195334,18 Mart 2023,Citroen,C3,1.4 e-HDi Confort,2012,219.000 km,Yarı Otomatik,Dizel,Hatchback/5,1398 cc,76 hp,Önden Çekiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,1.606 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
777,199.000,22190611,18 Mart 2023,Citroen,C3,1.4 HDi SX,2004,301.000 km,Düz,Dizel,Hatchback/5,1398 cc,93 hp,Önden Çekiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,436 TL,Takasa Uygun,,,,,,,,,,,,,,
778,255.000,22036644,18 Mart 2023,Citroen,C3,1.4 HDi Exclusive,2011,152.000 km,Düz,Dizel,Hatchback/5,1398 cc,71 hp,Önden Çekiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Füme,İlk Sahibi Değilim,1.135 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
779,565.000,22191343,18 Mart 2023,Citroen,C3,1.2 PureTech Feel,2022,1.350 km,Düz,Benzin,Hatchback/5,1199 cc,83 hp,Önden Çekiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,2.120 TL,Takasa Uygun Değil,,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
780,235.000,22186812,17 Mart 2023,Citroen,C3,1.4 HDi X Furio,2009,231.000 km,Düz,Dizel,Hatchback/5,1398 cc,71 hp,Önden Çekiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,1.135 TL,Takasa Uygun Değil,Toplam Tramer Tutarı: 15.000 TL,Lokal Boyanmış,Boyanmış,,,,,Lokal Boyanmış,,Lokal Boyanmış,,,,
781,255.000,22187001,17 Mart 2023,Citroen,C3,1.4 HDi X,2007,190.000 km,Düz,Dizel,Hatchback/5,1398 cc,71 hp,Önden Çekiş,Takasa Uygun:,,,,,,,,Tramer tutarı belirtilmemiş,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
782,637.000,21779879,17 Mart 2023,Citroen,C3,1.2 PureTech Feel Bold,2021,44.000 km,Otomatik,Benzin,Hatchback/5,1199 cc,112 hp,Önden Çekiş,Belirtilmemiş,Bireysel,Garantisi Var,(TR) Türkiye,Mavi,İlk Sahibiyim,2.545 TL,Takasa Uygun,,,,,,,,,,,,,,
783,275.000,22184450,17 Mart 2023,Citroen,C3,1.4 X Furio,2008,185.000 km,Düz,LPG & Benzin,Hatchback/5,1360 cc,76 hp,Önden Çekiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,Siyah,İlk Sahibiyim,1.135 TL,Takasa Uygun Değil,Tramer tutarı yok,,,,,,,Boyanmış,Boyanmış,,,,,
784,260.000,22182882,17 Mart 2023,Citroen,C3,1.4 HDi X Furio,2008,145.000 km,Düz,Dizel,Hatchback/5,1398 cc,71 hp,Önden Çekiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,1.135 TL,Takasa Uygun Değil,Toplam Tramer Tutarı: 145.000 TL,,,Boyanmış,,Değişmiş,Değişmiş,,,Boyanmış,,,,
785,250.000,21353347,17 Mart 2023,Citroen,C3,1.4 HDi SX,2004,257.000 km,Düz,Dizel,Hatchback/5,1398 cc,93 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Yok,(TR) Türkiye,Mavi,İlk Sahibi Değilim,436 TL,Takasa Uygun,,,,Boyanmış,,Lokal Boyanmış,Lokal Boyanmış,,,,,,,
786,469.750,22181669,16 Mart 2023,Citroen,C3,1.2 PureTech Live,2017,47.000 km,Düz,Benzin,Hatchback/5,1199 cc,83 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Yok,(TR) Türkiye,Beyaz,İlk Sahibi Değilim,1.479 TL,Takasa Uygun Değil,Toplam Tramer Tutarı: 1.643 TL,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
787,719.900,22179320,03 Nisan 2023,Citroen,C3,1.2 PureTech Feel Bold,2021,32.410 km,Otomatik,Benzin,Hatchback/5,1199 cc,112 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Var,(TR) Türkiye,Mavi,İlk Sahibi Değilim,2.545 TL,Takasa Uygun,Tramer tutarı yok,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
