,price,ilan_no,ilan_tarih,marka,seri,model,yıl,km,vites_tipi,yakıt_tipi,kasa_tipi,motor_hacmi,motor_gucu,cekis,boya_degisen,arac_turu,garanti,plaka_uyruk,renk,Araç ilk sahibindenmi,Yıllık mtv tutarı,Takasa uygunmu,tramer,sag_arka_camurluk,arka_kaput,sol_arka_camurluk,tavan,sol_arka_kapi,sol_on_kapi,sag_on_camurluk,motor_kaputu,sol_on_camurluk,on_tampon,arka_tampon,sag_arka_kapi,sag_on_kapi
1437,95.000,22283488,30 Mart 2023,Mercedes - Benz,200,D,1984,1.000 km,Düz,Dizel,Sedan,1997 cc,75 hp,Arkadan İtiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,Kahverengi,İlk Sahibi Değilim,1.198 TL,Takasa Uygun,,,,,,,,,,,,,,
1438,260.000,22286786,30 Mart 2023,Mercedes - Benz,200,E,1991,440.000 km,Düz,LPG & Benzin,Sedan,1997 cc,118 hp,Arkadan İtiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Füme,İlk Sahibiyim,1.198 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
1439,199.000,21870944,29 Mart 2023,Mercedes - Benz,200,E,1991,485.000 km,Otomatik,LPG & Benzin,Sedan,,,,Belirtilmemiş,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,,Takasa Uygun Değil,,,,,,,,,,,,,,
1440,650.000,18368140,28 Mart 2023,Mercedes - Benz,200,E,1991,330.000 km,Düz,LPG & Benzin,Sedan,1997 cc,118 hp,Arkadan İtiş,Takasa Uygun:,Bireysel,Garantisi Var,(TR) Türkiye,Bej,İlk Sahibi Değilim,1.198 TL,Takasa Uygun,Tramer tutarı yok,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
1441,240.000,20316990,28 Mart 2023,Mercedes - Benz,200,E,1990,360.000 km,Otomatik,LPG & Benzin,Sedan,1801 - 2000 cm3,126 - 150 HP,Arkadan İtiş,Takasa Uygun:,Bireysel,Garantisi Var,(TR) Türkiye,Kahverengi,İlk Sahibi Değilim,,Takasa Uygun,Toplam Tramer Tutarı: 2.250 TL,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
1442,149.000,22272621,28 Mart 2023,Mercedes - Benz,200,D,1995,490.000 km,Düz,Dizel,Sedan,1997 cc,75 hp,Arkadan İtiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Gri (Gümüş),İlk Sahibi Değilim,1.198 TL,Takasa Uygun,,,,,,,,,,,,,,
1443,240.000,21873441,28 Mart 2023,Mercedes - Benz,200,D,1984,450.000 km,Düz,Dizel,Sedan,1997 cc,75 hp,Arkadan İtiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Beyaz,İlk Sahibi Değilim,1.198 TL,Takasa Uygun,,,,,,,,,,,,,,
1444,175.000,22267162,27 Mart 2023,Mercedes - Benz,200,E,1989,414.600 km,Düz,LPG & Benzin,Sedan,1997 cc,118 hp,Arkadan İtiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,Beyaz,İlk Sahibi Değilim,1.198 TL,Takasa Uygun,,,,,,,,,,,,,,
1445,189.950,22178945,27 Mart 2023,Mercedes - Benz,200,E,1991,47.900 km,Otomatik,LPG & Benzin,Sedan,1801 - 2000 cm3,101 - 125 HP,Arkadan İtiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Siyah,İlk Sahibi Değilim,,Takasa Uygun Değil,,,,,,,,,,,,,,
1446,155.555,22261774,27 Mart 2023,Mercedes - Benz,200,D,1986,524.000 km,Düz,Dizel,Sedan,1997 cc,75 hp,Arkadan İtiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Kahverengi,İlk Sahibi Değilim,1.198 TL,Takasa Uygun,,,,,,,,,,,,,,
1447,190.000,22256750,27 Mart 2023,Mercedes - Benz,200,E,1990,455.000 km,Düz,LPG & Benzin,Sedan,1997 cc,118 hp,Arkadan İtiş,Belirtilmemiş,,,,,,,,,,,,,,,,,,,,,
1448,175.000,22244797,25 Mart 2023,Mercedes - Benz,200,E,1990,358.314 km,Düz,LPG & Benzin,Sedan,1997 cc,118 hp,Arkadan İtiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,Beyaz,İlk Sahibi Değilim,1.198 TL,Takasa Uygun,,,,,,,,,,,,,,
1449,260.000,22245723,25 Mart 2023,Mercedes - Benz,200,E,1990,306.000 km,Otomatik,LPG & Benzin,Sedan,,,Arkadan İtiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,Lacivert,İlk Sahibi Değilim,,Takasa Uygun,,,,,,,,,,,,,,
1450,240.000,22242997,25 Mart 2023,Mercedes - Benz,200,D,1992,414.000 km,Düz,Dizel,Sedan,,,,Belirtilmemiş,,,,,,,,,,,,,,,,,,,,,
1451,225.000,22245143,25 Mart 2023,Mercedes - Benz,200,E,1991,154.000 km,Düz,Benzin,Sedan,1997 cc,118 hp,Arkadan İtiş,Takasa Uygun:,Bireysel,Garantisi Var,(TR) Türkiye,Beyaz,İlk Sahibi Değilim,1.198 TL,Takasa Uygun,Toplam Tramer Tutarı: 20.000 TL,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış
1452,86.500,21798905,24 Mart 2023,Mercedes - Benz,200,D,1984,200.000 km,Düz,Dizel,Sedan,1997 cc,75 hp,Arkadan İtiş,Belirtilmemiş,,,,,,,,,,,,,,,,,,,,,
1453,172.500,22239732,24 Mart 2023,Mercedes - Benz,200,D,1988,164.900 km,Düz,Dizel,Sedan,1997 cc,75 hp,Arkadan İtiş,Takasa Uygun:,,,,,,,,Tramer tutarı belirtilmemiş,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış
1454,127.000,22060944,24 Mart 2023,Mercedes - Benz,200,D,1985,550.000 km,Düz,Dizel,Sedan,1997 cc,75 hp,Arkadan İtiş,Takasa Uygun:,,,,,,,,Tramer tutarı belirtilmemiş,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış,Boyanmış
1455,175.000,22238738,24 Mart 2023,Mercedes - Benz,200,D,1986,344.000 km,Otomatik,Dizel,Sedan,,,,Belirtilmemiş,,,,,,,,,,,,,,,,,,,,,
1456,700.000,22235058,23 Mart 2023,Mercedes - Benz,200,E,1990,275.000 km,Düz,Benzin,Sedan,1997 cc,118 hp,Arkadan İtiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Lacivert,İlk Sahibiyim,1.198 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
1457,167.000,22228172,22 Mart 2023,Mercedes - Benz,200,D,1985,370.000 km,Düz,Dizel,Sedan,1997 cc,75 hp,Arkadan İtiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Bordo,İlk Sahibi Değilim,1.198 TL,Takasa Uygun,,,,,,,,,,,,,,
1458,210.000,22224916,22 Mart 2023,Mercedes - Benz,200,E,1989,534.000 km,Düz,LPG & Benzin,Sedan,1997 cc,118 hp,Arkadan İtiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Mavi,İlk Sahibi Değilim,1.198 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
1459,225.000,22107566,21 Mart 2023,Mercedes - Benz,200,E,1991,450.000 km,Düz,LPG & Benzin,Sedan,1997 cc,118 hp,Arkadan İtiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Lacivert,İlk Sahibiyim,1.198 TL,Takasa Uygun,,,,,,,,,,,,,,
1460,220.000,22218110,21 Mart 2023,Mercedes - Benz,200,D,1987,520.000 km,Otomatik,Dizel,Sedan,2501 - 3000 cm3,76 - 100 HP,Önden Çekiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Gri (Gümüş),İlk Sahibiyim,,Takasa Uygun Değil,,,,,,,,,,,,,,
