,price,ilan_no,ilan_tarih,marka,seri,model,yıl,km,vites_tipi,yakıt_tipi,kasa_tipi,motor_hacmi,motor_gucu,cekis,boya_degisen,arac_turu,garanti,plaka_uyruk,renk,Araç ilk sahibindenmi,Yıllık mtv tutarı,Takasa uygunmu,tramer,sag_arka_camurluk,arka_kaput,sol_arka_camurluk,tavan,sol_arka_kapi,sol_on_kapi,sag_on_camurluk,motor_kaputu,sol_on_camurluk,on_tampon,arka_tampon,sag_arka_kapi,sag_on_kapi
14,297.000,22442555,18 Nisan 2023,Volkswagen,Bora,1.6 Comfortline,2004,255.000 km,Otomatik,LPG & Benzin,Sedan,1595 cc,102 hp,Önden Çekiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,436 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
15,363.000,22441111,18 Nisan 2023,Volkswagen,Bora,1.6 Basic,2004,142.000 km,Düz,LPG & Benzin,Sedan,1595 cc,105 hp,Önden Çekiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,436 TL,Takasa Uygun Değil,,,,,,,Boyanmış,Boyanmış,,Boyanmış,,,,
16,210.000,22441992,17 Nisan 2023,Volkswagen,Bora,1.6 Comfortline,2000,391.000 km,Düz,LPG & Benzin,Sedan,1595 cc,105 hp,Önden Çekiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,Siyah,İlk Sahibi Değilim,436 TL,Takasa Uygun Değil,Tramer tutarı belirtilmemiş,,Boyanmış,Boyanmış,,,,Boyanmış,Değişmiş,Boyanmış,,,Boyanmış,
17,255.000,22219945,17 Nisan 2023,Volkswagen,Bora,1.6 Comfortline,2000,312.000 km,Düz,LPG & Benzin,Sedan,1595 cc,101 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Yok,(TR) Türkiye,Beyaz,İlk Sahibi Değilim,436 TL,Takasa Uygun,Toplam Tramer Tutarı: 6.000 TL,Boyanmış,Boyanmış,Boyanmış,Orijinal,Boyanmış,Boyanmış,Boyanmış,Değişmiş,Değişmiş,,,Boyanmış,Boyanmış
18,350.000,22440839,17 Nisan 2023,Volkswagen,Bora,1.6 Comfortline,2004,260.000 km,Otomatik,LPG & Benzin,Sedan,1595 cc,102 hp,Önden Çekiş,Belirtilmemiş,Bireysel,Garantisi Yok,(TR) Türkiye,Mavi (metalik),İlk Sahibi Değilim,436 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
19,335.000,22440519,17 Nisan 2023,Volkswagen,Bora,1.6 Comfortline,2000,212.000 km,Düz,LPG & Benzin,Sedan,1595 cc,101 hp,Önden Çekiş,Takasa Uygun:,Bireysel,-,(TR) Türkiye,Gri,İlk Sahibiyim,436 TL,Takasa Uygun Değil,Tramer tutarı yok,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Boyanmış,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal
20,250.000,22434657,17 Nisan 2023,Volkswagen,Bora,1.6 Comfortline,1999,220.000 km,Düz,LPG & Benzin,Sedan,1595 cc,101 hp,Önden Çekiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,436 TL,Takasa Uygun,,,,,,,,,,,,,,
21,258.750,22392159,17 Nisan 2023,Volkswagen,Bora,1.6 Primeline,2002,310.000 km,Düz,LPG & Benzin,Sedan,1595 cc,105 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Var,(TR) Türkiye,Lacivert,İlk Sahibiyim,436 TL,Takasa Uygun Değil,,Boyanmış,Orijinal,Orijinal,Orijinal,Orijinal,Orijinal,Değişmiş,Değişmiş,Değişmiş,Orijinal,Orijinal,Boyanmış,Boyanmış
22,313.000,22439246,17 Nisan 2023,Volkswagen,Bora,1.6 Comfortline,2000,297.000 km,Düz,LPG & Benzin,Sedan,1595 cc,101 hp,Önden Çekiş,Takasa Uygun:,Bireysel,Garantisi Yok,(TR) Türkiye,Gri (titanyum),İlk Sahibi Değilim,436 TL,Takasa Uygun,Tramer tutarı yok,Lokal Boyanmış,,Boyanmış,,,Lokal Boyanmış,Lokal Boyanmış,,Lokal Boyanmış,,,,
23,330.000,22435291,17 Nisan 2023,Volkswagen,Bora,1.6 Pacific,2004,220.000 km,Düz,LPG & Benzin,Sedan,1595 cc,105 hp,Önden Çekiş,Belirtilmemiş,Bireysel,-,(TR) Türkiye,-,İlk Sahibiyim,436 TL,Takasa Uygun Değil,,,,,,,,,,,,,,
